Šifra stranke,Naziv,E-pošta,Tel. številko,Uporabniki,Skupina (Magento),Cenik,Plačnik,Popust polno pakiranje,Vrednostni rabat,Rabat prag 1,Rabat % 1,Rabat prag 2,Rabat % 2,Rabat prag 3,Rabat % 3,B2B+,Skupine popustov,Popust NW
0001115,Mercator d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001121,"METAL ING SKUPINA, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001126,"MFM INTARZIJA PROIZVODNJA, TRGOVINA, TURIZEM D.O.O.",,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001148,MIPRO TRGOVINA D.O.O.,,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001165,BOJAN MIKLIČ S.P.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001169,MKB CENTER d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001215,"OBNOVA, PE ČRNUČE",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001216,"OBNOVA, PE CELOVŠKA",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001217,"OBNOVA, PE LESNO BRDO",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001218,"OBNOVA, PE LOGATEC",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001226,Omnisend Limited,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001227,MOL & INA d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001231,"OROS, d.o.o.",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001238,P.P.H.U. EUROHANDEL,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001240,Panasonic Electric Works Elektrik San. ve Tic. A.S,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001241,PAN-JAN d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001254,"PETROL d.d., Ljubljana",,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001256,PIGO d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001273,"POLJE, PE PODPLAT",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001274,"POLJE, PE MARIBOR",,,,,B2C,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001275,"POLJE, PE ŠENTJUR",,,,,B2B,0001537|,0,0,800,1,1500,2,3000,3,0,,
0001276,POLONČIČ d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001284,POŠTA SLOVENIJE d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001287,POWER SOLUTION SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,,,B2C,,0,0,800,1,1500,2,3000,3,0,,
0001305,PROMELEK XXI S.A.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001320,RA-J d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001325,REAM d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001328,REM d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
0001329,Rembol d.o.o.,,,,,B2B,,0,0,800,1,1500,2,3000,3,0,,
